ID_empleado;Apellido;Nombre;Sucursal;Sector;Cargo;Salario
1968;Burgos;Jeronimo;Caseros;Administració;Administrativo;32000,00
1674;Villegas;Estefania;Caseros;Administració;Vendedor;32000,00
1516;Fernandez;Guillermo;Caseros;Administració;Vendedor;45000,00
1330;Ramirez;Eliana;Caseros;Administració;Vendedor;32000,00
1657;Carmona;Jose;Caseros;Administració;Vendedor;32000,00
1573;De santis;Marcela;Caseros;Administració;Aux. Administrativo;15000,00
1658;Franco;Daniela;Caseros;Administració;Vendedor;32000,00
1078;Cortes;Rafael;Caseros;Diseñ;Administrativo;42000,00
1695;Berrio;Camilo;Cabildo;Diseñ;Vendedor;32000,00
1285;Arias;Francisco;Cabildo;Diseñ;Vendedor;32000,00
1284;Merizalde;Antonio;Cabildo;Diseñ;Vendedor;32000,00
1517;Restrepo;Karen;Cabildo;Diseñ;Aux. Administrativo;15000,00
1674;Lemus;David;Cabildo;Diseñ;Vendedor;32000,00
1056;Santana;Javier;Cabildo;Comunicació;Administrativo;56000,00
1977;Saldarriaga;Virginia;Cabildo;Comunicació;Vendedor;42000,00
1725;Posada;Sergio;Cabildo;Comunicació;Vendedor;56000,00
1675;Zea ;Jorge;Cabildo;Comunicació;Vendedor;65000,00
1968;Diaz ;Mariana;Cabildo;Comunicació;Vendedor;32000,00
1723;Giraldo;Esteban;Cabildo;Ventas;Aux. Administrativo;13500,00
1076;Idarraga;Jorge;Moron;Ventas;Aux. Administrativo;12000,00
1816;Simanca;Alejandro;Moron;Ventas;Aux. Administrativo;16000,00
1154;Pulgarin;Angelica;Moron;Ventas;Administrativo;41000,00
1294;Aguirre;Brenda;Moron;Ventas;Vendedor;32000,00
1428;Tamayo;Gloria;Moron;Ventas;Vendedor;32000,00
1814;Carmona ;Andrea;Moron;Ventas;Vendedor;32000,00
1978;Diaz ;Lucero;Moron;Ventas;Vendedor;32000,00
1531;Alzate;Angela;Moron;Ventas;Técnic;28000,00
1931;Arango;Felipe;Moron;Administració;Administrativo;25600,00
1932;Garces;Elena;Moron;Administració;Administrativo;24000,00
1291;Uribe;Carmen;Moron;Administració;Aux. Administrativo;13500,00
1530;Ospina;Daniel;Moron;Administració;Vendedor;14600,00
1152;Peláe;Alberto;Moron;Administració;Vendedor;13500,00
1079;Perez;Elena;Palermo 1;Administració;Vendedor;13500,00
1676;Carmona;Sebastian;Palermo 1;Administració;Vendedor;15000,00
1290;Cifuentes;Oscar;Palermo 1;Administració;Vendedor;13500,00
1961;Jaramillo;Santiago;Palermo 1;Administració;Vendedor;13500,00
1675;Melano;Luis;Palermo 1;Administració;Vendedor;13500,00
1368;Mendez;Jos�;Palermo 1;Administració;Vendedor;12800,00
1153;Ramirez;Tomas;Palermo 1;Administració;Técnic;13500,00
1960;Girando;Felipe;Palermo 1;Administració;Aux. Administrativo;13500,00
1908;Diez;Patricia;Palermo 1;Administració;Administrativo;56000,00
1011;Sierra;Luisa;Castelar;Administració;Vendedor;27000,00
1359;Vallejo;Sara;Castelar;Diseñ;Vendedor;23000,00
1724;Guerrero;Alexandra;Castelar;Diseñ;Vendedor;23000,00
1923;Guerra;Lisa;Castelar;Diseñ;Vendedor;23000,00
1794;Rodríguez;Ana Maria;Castelar;Diseñ;Vendedor;23000,00
1558;Marulanda;Sofia;Castelar;Diseñ;Vendedor;23000,00
1949;Palacio;Paula;Castelar;Diseñ;Vendedor;41000,00
1311;Bermudez;Jesus;Castelar;Diseñ;Vendedor;38000,00
1906;Toledo;Roberta;Castelar;Diseñ;Aux. Administrativo;13500,00
1656;Arango;Tatiana;Castelar;Diseñ;Administrativo;25000,00
1907;Acevedo;Melina;Castelar;Diseñ;Administrativo;26000,00
1724;Cock;Cristina;Palermo 2;Diseñ;Administrativo;29600,00
1301;Casadiegos;Manuela;Palermo 2;Diseñ;Aux. Administrativo;13500,00
1292;Salamanca;Isabel;Palermo 2;Diseñ;Administrativo;43500,00
1167;Arango;Juan;Palermo 2;Diseñ;Administrativo;56000,00
1950;Granda;Luisa;Palermo 2;Diseñ;Vendedor;49000,00
1792;Arango ;Monica;Palermo 2;Diseñ;Técnic;20000,00
1977;Arroyave;Federico;Palermo 2;Diseñ;Técnic;13000,00
1067;Lemos;Dalia;Palermo 2;Diseñ;Técnic;11000,00
1976;Jaramillo;Ana;Palermo 2;Ventas;Aux. Administrativo;13500,00
1168;Lema;Maria;Palermo 2;Ventas;Aux. Administrativo;13500,00
1815;Caro;Diana;Palermo 2;Ventas;Administrativo;56000,00
1068;Vergara;Amalia;Palermo 2;Ventas;Vendedor;32000,00
1012;Duque;Julian;Palermo 2;Ventas;Vendedor;24000,00
1301;Muño;Maritza;Corrientes;Ventas;Vendedor;32000,00
1556;Peláe;André;Corrientes;Ventas;Vendedor;32000,00
1933;Sanchez;Miguel;Corrientes;Ventas;Vendedor;32000,00
1333;Cano;Carolina;Corrientes;Ventas;Vendedor;32000,00
1510;Marquez;Jessica;Corrientes;Ventas;Vendedor;48000,00
1574;Rico;Samuel;Corrientes;Ventas;Vendedor;32000,00
1360;Mendez;Gustavo;Corrientes;Ventas;Vendedor;40000,00
1293;Jimenez;Karina;Corrientes;Ventas;Técnic;17000,00
1329;Osorio;Julieth;Almagro;Ventas;Vendedor;35000,00
1572;Villamizar;Lina;Almagro;Ventas;Vendedor;36000,00
1300;Gomez;Carlos;Almagro;Ventas;Administrativo;23000,00
1557;Grací;Simó;Almagro;Ventas;Aux. Administrativo;13900,00
1169;Castro;Monica;Almagro;Ventas;Administrativo;57000,00
1758;Uribe;Melisa;Almagro;Ventas;Técnic;19000,00
1310;Florez;Alejandra;Almagro;Ventas;Técnic;13500,00
1041;Gutierrez;Amalia;Almagro;Ventas;Vendedor;49000,00
1361;Medina;Raquel;Caballito;Ventas;Vendedor;29400,00
1793;Betancur;Gonzalo;Caballito;Administració;Vendedor;13500,00
1725;Marquez;Isabella;Caballito;Administració;Administrativo;56000,00
1969;Molina;Karla;Caballito;Administració;Aux. Técnic;9800,00
1962;Rodriguez;Hilda;Caballito;Administració;Vendedor;29000,00
1967;Hincapie;Victoria;Caballito;Administració;Vendedor;46000,00
1426;Rojas ;Pablo;Caballito;Administració;Vendedor;56000,00
1509;Serna;Pamela;Caballito;Ventas;Aux. Administrativo;13500,00
1673;Zapata;Stepania;San Justo;Ventas;Vendedor;13500,00
1352;Toro;Manuel;San Justo;Ventas;Vendedor;19800,00
1922;Henao;Barbara;San Justo;Ventas;Vendedor;21000,00
1518;Vasquez;Leonardo;San Justo;Ventas;Vendedor;26000,00
1331;Castrilló;Juliana;San Justo;Ventas;Vendedor;31000,00
1303;Lopez;Dinara;San Justo;Ventas;Administrativo;56000,00
1302;Mota;Elisa;San Justo;Ventas;Vendedor;38000,00
1334;Perez;Alicia;San Justo;Ventas;Aux. Administrativo;13500,00
1975;Posada;Carlos;Flores;Derecho;Vendedor;32000,00
1759;Arango;Mauricio;Flores;Derecho;Vendedor;47000,00
1055;Hoyos;Adriana;Flores;Derecho;Vendedor;32000,00
1054;Suarez;Miguel;Flores;Derecho;Vendedor ;41000,00
1075;Aristizabal;Natalia;Flores;Derecho;Vendedor ;32000,00
1966;Dominguez ;Camila;Flores;Derecho;Vendedor ;39000,00
1354;Ruiz;Susana;Flores;Derecho;Administrativo;32000,00
